Covariate,HR,LB,UB
TBX3,1.0879952669176054,0.5331952600485177,2.2200754386439945
TET2,0.9593777973696557,0.5920727209556186,1.554548496340613
TGFBR2,0.874293919398069,0.46499547727663837,1.643865144610172
TLR4,1.3507972719642942,0.8074497614150157,2.2597731241490058
TP53,1.283520709161084,1.0573675483366973,1.5580442329981392
TSHZ2,0.8796195309638877,0.49983040466084394,1.5479861009618623
TSHZ3,1.3004766891237476,0.7921265803781844,2.1350623257040775
U2AF1,0.9329834084091768,0.45673089733017774,1.9058444380598525
USP9X,1.0601464334861803,0.5729603014848029,1.9615852224332129
VEZF1,1.1940142885871305,0.4242375794922646,3.3605465198450823
VHL,1.085543213549145,0.7642817366564391,1.541845123289034
WT1,1.121649123643868,0.633214404085144,1.9868416581406279
